Date,Hour,Minute,Second,Weekday,Weekday_number,Is_lesson,Online_friends,Nikita_online
28,20,19,34,Friday,4,0,29,False
28,20,19,44,Friday,4,0,29,False
28,20,19,54,Friday,4,0,30,False
28,20,20,4,Friday,4,0,30,False
28,20,20,14,Friday,4,0,30,False
28,20,20,24,Friday,4,0,30,False
28,20,20,34,Friday,4,0,31,False
28,20,20,45,Friday,4,0,32,False
28,20,20,55,Friday,4,0,31,False
28,20,21,5,Friday,4,0,31,False
28,20,21,15,Friday,4,0,32,True
28,20,21,25,Friday,4,0,32,True
28,20,21,35,Friday,4,0,32,True
28,20,21,45,Friday,4,0,32,True
28,20,21,55,Friday,4,0,33,True
28,20,22,5,Friday,4,0,33,True
28,20,22,15,Friday,4,0,33,True
28,20,22,25,Friday,4,0,34,True
28,20,22,35,Friday,4,0,35,True
28,20,22,46,Friday,4,0,35,True
28,20,22,56,Friday,4,0,35,True
28,20,23,6,Friday,4,0,36,True
28,20,23,16,Friday,4,0,36,True
28,20,23,26,Friday,4,0,37,True
28,20,23,36,Friday,4,0,37,True
28,20,23,46,Friday,4,0,35,True
28,20,23,56,Friday,4,0,37,True
28,20,24,6,Friday,4,0,35,True
28,20,24,16,Friday,4,0,37,True
28,20,24,26,Friday,4,0,32,True
28,20,24,36,Friday,4,0,34,True
28,20,24,46,Friday,4,0,35,True
28,20,24,57,Friday,4,0,34,True
28,20,25,7,Friday,4,0,32,True
28,20,25,17,Friday,4,0,33,True
28,20,25,27,Friday,4,0,32,True
28,20,25,37,Friday,4,0,32,True
28,20,25,47,Friday,4,0,32,True
28,20,25,57,Friday,4,0,31,True
28,20,26,7,Friday,4,0,30,True
28,20,26,17,Friday,4,0,30,True
28,20,26,27,Friday,4,0,31,True
28,20,26,38,Friday,4,0,31,True
28,20,26,48,Friday,4,0,31,True
28,20,26,58,Friday,4,0,32,True
28,20,27,8,Friday,4,0,30,True
28,20,27,18,Friday,4,0,30,True
28,20,27,28,Friday,4,0,28,True
28,20,27,38,Friday,4,0,28,True
28,20,27,48,Friday,4,0,28,True
28,20,27,58,Friday,4,0,30,True
28,20,28,8,Friday,4,0,30,True
28,20,28,18,Friday,4,0,28,True
28,20,28,28,Friday,4,0,30,True
28,20,28,38,Friday,4,0,31,True
28,20,28,49,Friday,4,0,31,True
28,20,28,59,Friday,4,0,31,True
28,20,29,9,Friday,4,0,29,True
28,20,29,19,Friday,4,0,30,True
28,20,29,29,Friday,4,0,30,True
28,20,29,39,Friday,4,0,31,True
28,20,29,49,Friday,4,0,34,True
28,20,29,59,Friday,4,0,34,True
28,20,30,9,Friday,4,0,34,True
28,20,30,20,Friday,4,0,34,True
28,20,30,30,Friday,4,0,35,True
28,20,30,40,Friday,4,0,35,True
28,20,30,50,Friday,4,0,34,True
28,20,31,0,Friday,4,0,34,True
28,20,31,10,Friday,4,0,34,True
28,20,31,20,Friday,4,0,35,True
28,20,31,30,Friday,4,0,35,True
28,20,31,40,Friday,4,0,34,True
28,20,31,50,Friday,4,0,35,True
28,20,32,0,Friday,4,0,33,True
28,20,32,11,Friday,4,0,34,True
28,20,32,21,Friday,4,0,34,True
28,20,32,31,Friday,4,0,34,True
28,20,32,41,Friday,4,0,35,True
28,20,32,51,Friday,4,0,33,True
28,20,33,1,Friday,4,0,32,True
28,20,33,11,Friday,4,0,31,False
28,20,33,21,Friday,4,0,31,False
28,20,33,31,Friday,4,0,28,False
28,20,33,41,Friday,4,0,27,False
28,20,33,51,Friday,4,0,26,False
28,20,34,1,Friday,4,0,27,False
28,20,34,11,Friday,4,0,30,False
28,20,34,21,Friday,4,0,31,False
28,20,34,32,Friday,4,0,33,False
28,20,34,42,Friday,4,0,31,False
28,20,34,52,Friday,4,0,32,False
28,20,35,2,Friday,4,0,32,False
28,20,35,12,Friday,4,0,32,False
28,20,35,22,Friday,4,0,32,False
28,20,35,32,Friday,4,0,33,False
28,20,35,42,Friday,4,0,34,False
28,20,35,52,Friday,4,0,35,False
28,20,36,2,Friday,4,0,37,False
28,20,36,12,Friday,4,0,35,False
28,20,36,23,Friday,4,0,35,False
28,20,36,33,Friday,4,0,34,False
28,20,36,43,Friday,4,0,33,False
28,20,36,53,Friday,4,0,34,False
28,20,37,3,Friday,4,0,33,False
28,20,37,13,Friday,4,0,32,False
28,20,37,23,Friday,4,0,31,False
28,20,37,33,Friday,4,0,32,False
28,20,37,43,Friday,4,0,32,False
28,20,37,53,Friday,4,0,32,False
